name,firmware_variable,unit,printf_format,type_cast,xmit_scale,python_type,should_generate
"Don’t read this column, just for convenience/clarity",pt_cal_lower_voltage[0],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[1],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[2],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[3],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[4],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[5],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[6],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[7],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[8],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[9],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[10],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[11],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[12],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[13],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[14],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[15],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[16],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[17],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[18],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[19],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[20],V,%.1f,int16_t,10,float,y
,pt_cal_lower_voltage[21],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[0],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[1],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[2],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[3],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[4],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[5],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[6],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[7],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[8],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[9],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[10],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[11],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[12],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[13],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[14],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[15],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[16],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[17],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[18],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[19],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[20],V,%.1f,int16_t,10,float,y
,pt_cal_upper_voltage[21],V,%.1f,int16_t,10,float,y
,pt_cal_upper_pressure[0],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[1],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[2],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[3],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[4],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[5],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[6],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[7],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[8],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[9],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[10],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[11],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[12],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[13],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[14],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[15],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[16],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[17],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[18],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[19],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[20],psi,%d,int16_t,1,int,y
,pt_cal_upper_pressure[21],psi,%d,int16_t,1,int,y